2019-09-16 7:32:11 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:14 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:16 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:19 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:22 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:24 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:27 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:30 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:32 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:35 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:38 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:40 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:43 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:45 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:47 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:48 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:50 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:53 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:56 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:32:58 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:33:01 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:33:04 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-16 7:33:06 - PHP Notice:  Undefined index: user_token in E:\ocshop\upload\admin\controller\common\login.php on line 11
2019-09-19 2:41:21 - PHP Notice:  Undefined index: customer_group_id in E:\ocshop\upload\admin\model\customer\customer.php on line 29
2019-09-19 2:41:21 - PHP Notice:  Undefined index: firstname in E:\ocshop\upload\admin\model\customer\customer.php on line 29
2019-09-19 2:41:21 - PHP Notice:  Undefined index: lastname in E:\ocshop\upload\admin\model\customer\customer.php on line 29
2019-09-19 2:41:21 - PHP Notice:  Undefined index: email in E:\ocshop\upload\admin\model\customer\customer.php on line 29
2019-09-19 2:41:21 - PHP Notice:  Undefined index: telephone in E:\ocshop\upload\admin\model\customer\customer.php on line 29
2019-09-19 2:41:21 - PHP Notice:  Undefined index: newsletter in E:\ocshop\upload\admin\model\customer\customer.php on line 29
2019-09-19 2:41:21 - PHP Notice:  Undefined index: status in E:\ocshop\upload\admin\model\customer\customer.php on line 29
2019-09-19 2:41:21 - PHP Notice:  Undefined index: safe in E:\ocshop\upload\admin\model\customer\customer.php on line 29
2019-09-19 2:41:21 - PHP Notice:  Undefined index: password in E:\ocshop\upload\admin\model\customer\customer.php on line 31
2019-09-19 2:41:21 - PHP Notice:  Undefined index: affiliate in E:\ocshop\upload\admin\model\customer\customer.php on line 49
